S1810_C02_001M,S1810_C02_001E,S1810_C01_001M,S1810_C01_001E,NAME,state,county,tract
28,30,205,1181,Census Tract 1.01; District of Columbia; District of Columbia,11,001,000101
130,244,396,3056,Census Tract 1.02; District of Columbia; District of Columbia,11,001,000102
74,163,45,2835,Census Tract 2.01; District of Columbia; District of Columbia,11,001,000201
103,231,480,3946,Census Tract 2.02; District of Columbia; District of Columbia,11,001,000202
83,141,709,5669,Census Tract 3; District of Columbia; District of Columbia,11,001,000300
97,202,318,1715,Census Tract 4; District of Columbia; District of Columbia,11,001,000400
117,232,532,3490,Census Tract 5.01; District of Columbia; District of Columbia,11,001,000501
93,217,529,3448,Census Tract 5.02; District of Columbia; District of Columbia,11,001,000502
129,319,517,4258,Census Tract 6; District of Columbia; District of Columbia,11,001,000600
198,330,539,3239,Census Tract 7.02; District of Columbia; District of Columbia,11,001,000702
157,490,430,2764,Census Tract 7.03; District of Columbia; District of Columbia,11,001,000703
70,174,369,2394,Census Tract 7.04; District of Columbia; District of Columbia,11,001,000704
208,295,433,3136,Census Tract 8.02; District of Columbia; District of Columbia,11,001,000802
111,261,388,2521,Census Tract 8.03; District of Columbia; District of Columbia,11,001,000803
74,165,620,3509,Census Tract 8.04; District of Columbia; District of Columbia,11,001,000804
67,139,381,2134,Census Tract 9.02; District of Columbia; District of Columbia,11,001,000902
93,214,209,3201,Census Tract 9.03; District of Columbia; District of Columbia,11,001,000903
102,258,447,3250,Census Tract 9.04; District of Columbia; District of Columbia,11,001,000904
69,96,564,3348,Census Tract 10.02; District of Columbia; District of Columbia,11,001,001002
54,100,522,2866,Census Tract 10.03; District of Columbia; District of Columbia,11,001,001003
154,386,445,3952,Census Tract 10.04; District of Columbia; District of Columbia,11,001,001004
204,388,634,4444,Census Tract 11; District of Columbia; District of Columbia,11,001,001100
208,481,611,4711,Census Tract 12; District of Columbia; District of Columbia,11,001,001200
122,201,513,3914,Census Tract 13.01; District of Columbia; District of Columbia,11,001,001301
125,251,523,3537,Census Tract 13.03; District of Columbia; District of Columbia,11,001,001303
256,389,640,4083,Census Tract 13.04; District of Columbia; District of Columbia,11,001,001304
49,113,462,3324,Census Tract 14.01; District of Columbia; District of Columbia,11,001,001401
103,360,468,3446,Census Tract 14.02; District of Columbia; District of Columbia,11,001,001402
154,248,792,5453,Census Tract 15; District of Columbia; District of Columbia,11,001,001500
195,560,620,5067,Census Tract 16; District of Columbia; District of Columbia,11,001,001600
86,197,473,3372,Census Tract 17.02; District of Columbia; District of Columbia,11,001,001702
296,635,610,3795,Census Tract 18.03; District of Columbia; District of Columbia,11,001,001803
291,805,903,5428,Census Tract 18.04; District of Columbia; District of Columbia,11,001,001804
98,233,945,4581,Census Tract 19.01; District of Columbia; District of Columbia,11,001,001901
69,208,252,2212,Census Tract 19.02; District of Columbia; District of Columbia,11,001,001902
233,532,805,2980,Census Tract 20.01; District of Columbia; District of Columbia,11,001,002001
129,345,590,4087,Census Tract 20.02; District of Columbia; District of Columbia,11,001,002002
209,636,1121,5946,Census Tract 21.01; District of Columbia; District of Columbia,11,001,002101
168,430,646,5036,Census Tract 21.02; District of Columbia; District of Columbia,11,001,002102
72,203,672,3225,Census Tract 22.01; District of Columbia; District of Columbia,11,001,002201
185,515,748,3228,Census Tract 22.02; District of Columbia; District of Columbia,11,001,002202
117,236,497,3170,Census Tract 23.01; District of Columbia; District of Columbia,11,001,002301
135,270,180,1381,Census Tract 23.02; District of Columbia; District of Columbia,11,001,002302
115,270,446,3701,Census Tract 24; District of Columbia; District of Columbia,11,001,002400
59,138,796,2848,Census Tract 25.01; District of Columbia; District of Columbia,11,001,002501
104,231,585,2909,Census Tract 25.03; District of Columbia; District of Columbia,11,001,002503
314,395,538,3126,Census Tract 25.04; District of Columbia; District of Columbia,11,001,002504
130,265,430,2578,Census Tract 26; District of Columbia; District of Columbia,11,001,002600
169,435,711,5578,Census Tract 27.02; District of Columbia; District of Columbia,11,001,002702
