B03002_012E,B03002_001M,B03002_001E,B03002_012M,NAME,state,county,tract
90,205,1181,89,Census Tract 1.01; District of Columbia; District of Columbia,11,001,000101
405,396,3056,233,Census Tract 1.02; District of Columbia; District of Columbia,11,001,000102
381,45,2835,107,Census Tract 2.01; District of Columbia; District of Columbia,11,001,000201
384,481,3964,168,Census Tract 2.02; District of Columbia; District of Columbia,11,001,000202
816,709,5669,429,Census Tract 3; District of Columbia; District of Columbia,11,001,000300
279,318,1715,160,Census Tract 4; District of Columbia; District of Columbia,11,001,000400
366,532,3490,190,Census Tract 5.01; District of Columbia; District of Columbia,11,001,000501
491,529,3448,181,Census Tract 5.02; District of Columbia; District of Columbia,11,001,000502
343,517,4367,147,Census Tract 6; District of Columbia; District of Columbia,11,001,000600
310,539,3239,237,Census Tract 7.02; District of Columbia; District of Columbia,11,001,000702
371,430,2764,271,Census Tract 7.03; District of Columbia; District of Columbia,11,001,000703
286,371,2404,162,Census Tract 7.04; District of Columbia; District of Columbia,11,001,000704
320,433,3136,245,Census Tract 8.02; District of Columbia; District of Columbia,11,001,000802
213,388,2521,143,Census Tract 8.03; District of Columbia; District of Columbia,11,001,000803
111,623,3532,87,Census Tract 8.04; District of Columbia; District of Columbia,11,001,000804
182,381,2134,99,Census Tract 9.02; District of Columbia; District of Columbia,11,001,000902
292,209,3201,144,Census Tract 9.03; District of Columbia; District of Columbia,11,001,000903
275,447,3250,169,Census Tract 9.04; District of Columbia; District of Columbia,11,001,000904
155,564,3348,131,Census Tract 10.02; District of Columbia; District of Columbia,11,001,001002
219,526,2895,157,Census Tract 10.03; District of Columbia; District of Columbia,11,001,001003
279,448,3959,191,Census Tract 10.04; District of Columbia; District of Columbia,11,001,001004
257,634,4508,156,Census Tract 11; District of Columbia; District of Columbia,11,001,001100
368,611,4711,232,Census Tract 12; District of Columbia; District of Columbia,11,001,001200
377,513,3965,259,Census Tract 13.01; District of Columbia; District of Columbia,11,001,001301
432,523,3537,204,Census Tract 13.03; District of Columbia; District of Columbia,11,001,001303
504,640,4083,201,Census Tract 13.04; District of Columbia; District of Columbia,11,001,001304
523,462,3324,215,Census Tract 14.01; District of Columbia; District of Columbia,11,001,001401
340,468,3488,186,Census Tract 14.02; District of Columbia; District of Columbia,11,001,001402
605,792,5619,531,Census Tract 15; District of Columbia; District of Columbia,11,001,001500
448,620,5071,281,Census Tract 16; District of Columbia; District of Columbia,11,001,001600
279,474,3387,164,Census Tract 17.02; District of Columbia; District of Columbia,11,001,001702
1243,610,3795,642,Census Tract 18.03; District of Columbia; District of Columbia,11,001,001803
2072,903,5428,688,Census Tract 18.04; District of Columbia; District of Columbia,11,001,001804
907,945,4581,377,Census Tract 19.01; District of Columbia; District of Columbia,11,001,001901
335,252,2212,148,Census Tract 19.02; District of Columbia; District of Columbia,11,001,001902
1313,805,2983,677,Census Tract 20.01; District of Columbia; District of Columbia,11,001,002001
770,589,4106,478,Census Tract 20.02; District of Columbia; District of Columbia,11,001,002002
1554,1121,5946,1001,Census Tract 21.01; District of Columbia; District of Columbia,11,001,002101
1411,646,5043,491,Census Tract 21.02; District of Columbia; District of Columbia,11,001,002102
901,671,3238,589,Census Tract 22.01; District of Columbia; District of Columbia,11,001,002201
544,748,3228,382,Census Tract 22.02; District of Columbia; District of Columbia,11,001,002202
600,497,3170,242,Census Tract 23.01; District of Columbia; District of Columbia,11,001,002301
88,182,1538,107,Census Tract 23.02; District of Columbia; District of Columbia,11,001,002302
903,448,3735,443,Census Tract 24; District of Columbia; District of Columbia,11,001,002400
484,795,2860,529,Census Tract 25.01; District of Columbia; District of Columbia,11,001,002501
554,585,2909,234,Census Tract 25.03; District of Columbia; District of Columbia,11,001,002503
1030,535,3132,446,Census Tract 25.04; District of Columbia; District of Columbia,11,001,002504
383,430,2578,306,Census Tract 26; District of Columbia; District of Columbia,11,001,002600
1271,711,5578,507,Census Tract 27.02; District of Columbia; District of Columbia,11,001,002702
380,379,2312,243,Census Tract 27.03; District of Columbia; District of Columbia,11,001,002703
912,608,2971,318,Census Tract 27.04; District of Columbia; District of Columbia,11,001,002704
1341,559,3877,608,Census Tract 28.01; District of Columbia; District of Columbia,11,001,002801
2280,487,4951,411,Census Tract 28.02; District of Columbia; District of Columbia,11,001,002802
1152,852,4608,328,Census Tract 29; District of Columbia; District of Columbia,11,001,002900
779,483,3535,331,Census Tract 30; District of Columbia; District of Columbia,11,001,003000
860,448,3529,312,Census Tract 31; District of Columbia; District of Columbia,11,001,003100
891,1012,4132,486,Census Tract 32; District of Columbia; District of Columbia,11,001,003200
250,502,3525,126,Census Tract 33.01; District of Columbia; District of Columbia,11,001,003301
104,371,2236,60,Census Tract 33.02; District of Columbia; District of Columbia,11,001,003302
429,518,4044,247,Census Tract 34; District of Columbia; District of Columbia,11,001,003400
293,451,4498,122,Census Tract 35; District of Columbia; District of Columbia,11,001,003500
479,629,4500,222,Census Tract 36; District of Columbia; District of Columbia,11,001,003600
739,229,2195,211,Census Tract 37.01; District of Columbia; District of Columbia,11,001,003701
319,796,2815,187,Census Tract 37.02; District of Columbia; District of Columbia,11,001,003702
139,201,1514,81,Census Tract 38.01; District of Columbia; District of Columbia,11,001,003801
674,510,3607,390,Census Tract 38.02; District of Columbia; District of Columbia,11,001,003802
586,568,2729,267,Census Tract 39.01; District of Columbia; District of Columbia,11,001,003901
328,346,1774,165,Census Tract 39.02; District of Columbia; District of Columbia,11,001,003902
416,502,3971,290,Census Tract 40.01; District of Columbia; District of Columbia,11,001,004001
510,557,3291,250,Census Tract 40.02; District of Columbia; District of Columbia,11,001,004002
382,399,2363,121,Census Tract 41; District of Columbia; District of Columbia,11,001,004100
284,506,3224,134,Census Tract 42.01; District of Columbia; District of Columbia,11,001,004201
454,409,2613,248,Census Tract 42.02; District of Columbia; District of Columbia,11,001,004202
876,860,4387,463,Census Tract 43; District of Columbia; District of Columbia,11,001,004300
255,981,3388,135,Census Tract 44.01; District of Columbia; District of Columbia,11,001,004401
151,447,2503,111,Census Tract 44.02; District of Columbia; District of Columbia,11,001,004402
210,566,3058,178,Census Tract 46; District of Columbia; District of Columbia,11,001,004600
460,706,3476,193,Census Tract 47.02; District of Columbia; District of Columbia,11,001,004702
254,629,3400,136,Census Tract 47.03; District of Columbia; District of Columbia,11,001,004703
46,373,1580,57,Census Tract 47.04; District of Columbia; District of Columbia,11,001,004704
538,480,2751,370,Census Tract 48.01; District of Columbia; District of Columbia,11,001,004801
441,692,2974,449,Census Tract 48.02; District of Columbia; District of Columbia,11,001,004802
504,442,3381,386,Census Tract 49.01; District of Columbia; District of Columbia,11,001,004901
401,401,3367,234,Census Tract 49.02; District of Columbia; District of Columbia,11,001,004902
135,497,2064,81,Census Tract 50.01; District of Columbia; District of Columbia,11,001,005001
261,313,1766,98,Census Tract 50.03; District of Columbia; District of Columbia,11,001,005003
887,409,3703,318,Census Tract 50.04; District of Columbia; District of Columbia,11,001,005004
197,499,2973,111,Census Tract 52.02; District of Columbia; District of Columbia,11,001,005202
632,502,3114,290,Census Tract 52.03; District of Columbia; District of Columbia,11,001,005203
373,338,2547,182,Census Tract 53.02; District of Columbia; District of Columbia,11,001,005302
230,366,2503,141,Census Tract 53.03; District of Columbia; District of Columbia,11,001,005303
388,378,1759,202,Census Tract 55.01; District of Columbia; District of Columbia,11,001,005501
104,424,2487,83,Census Tract 55.02; District of Columbia; District of Columbia,11,001,005502
173,353,1693,113,Census Tract 55.03; District of Columbia; District of Columbia,11,001,005503
302,397,2508,283,Census Tract 56.01; District of Columbia; District of Columbia,11,001,005601
615,411,4034,234,Census Tract 56.02; District of Columbia; District of Columbia,11,001,005602
