S0101_C01_001E,S0101_C05_001E,S0101_C05_001M,S0101_C01_001M,NAME,state,county,tract
1181,678,166,205,Census Tract 1.01; District of Columbia; District of Columbia,11,001,000101
3056,1618,313,396,Census Tract 1.02; District of Columbia; District of Columbia,11,001,000102
2835,1705,125,45,Census Tract 2.01; District of Columbia; District of Columbia,11,001,000201
3964,2115,369,481,Census Tract 2.02; District of Columbia; District of Columbia,11,001,000202
5669,2975,426,709,Census Tract 3; District of Columbia; District of Columbia,11,001,000300
1715,897,255,318,Census Tract 4; District of Columbia; District of Columbia,11,001,000400
3490,1953,385,532,Census Tract 5.01; District of Columbia; District of Columbia,11,001,000501
3448,2018,370,529,Census Tract 5.02; District of Columbia; District of Columbia,11,001,000502
4367,2558,391,517,Census Tract 6; District of Columbia; District of Columbia,11,001,000600
3239,1775,387,539,Census Tract 7.02; District of Columbia; District of Columbia,11,001,000702
2764,1525,288,430,Census Tract 7.03; District of Columbia; District of Columbia,11,001,000703
2404,1365,300,371,Census Tract 7.04; District of Columbia; District of Columbia,11,001,000704
3136,1498,249,433,Census Tract 8.02; District of Columbia; District of Columbia,11,001,000802
2521,1554,259,388,Census Tract 8.03; District of Columbia; District of Columbia,11,001,000803
3532,1763,382,623,Census Tract 8.04; District of Columbia; District of Columbia,11,001,000804
2134,1121,217,381,Census Tract 9.02; District of Columbia; District of Columbia,11,001,000902
3201,1815,224,209,Census Tract 9.03; District of Columbia; District of Columbia,11,001,000903
3250,1650,350,447,Census Tract 9.04; District of Columbia; District of Columbia,11,001,000904
3348,1716,343,564,Census Tract 10.02; District of Columbia; District of Columbia,11,001,001002
2895,1319,205,526,Census Tract 10.03; District of Columbia; District of Columbia,11,001,001003
3959,2143,326,448,Census Tract 10.04; District of Columbia; District of Columbia,11,001,001004
4508,2438,429,634,Census Tract 11; District of Columbia; District of Columbia,11,001,001100
4711,2429,355,611,Census Tract 12; District of Columbia; District of Columbia,11,001,001200
3965,2410,355,513,Census Tract 13.01; District of Columbia; District of Columbia,11,001,001301
3537,2079,380,523,Census Tract 13.03; District of Columbia; District of Columbia,11,001,001303
4083,2018,418,640,Census Tract 13.04; District of Columbia; District of Columbia,11,001,001304
3324,1579,273,462,Census Tract 14.01; District of Columbia; District of Columbia,11,001,001401
3488,1813,274,468,Census Tract 14.02; District of Columbia; District of Columbia,11,001,001402
5619,3020,552,792,Census Tract 15; District of Columbia; District of Columbia,11,001,001500
5071,2479,386,620,Census Tract 16; District of Columbia; District of Columbia,11,001,001600
3387,1969,386,474,Census Tract 17.02; District of Columbia; District of Columbia,11,001,001702
3795,2156,449,610,Census Tract 18.03; District of Columbia; District of Columbia,11,001,001803
5428,3264,666,903,Census Tract 18.04; District of Columbia; District of Columbia,11,001,001804
