B05012_003M,B05012_001E,B05012_001M,B05012_003E,NAME,state,county,tract
77,1181,205,161,Census Tract 1.01; District of Columbia; District of Columbia,11,001,000101
287,3056,396,689,Census Tract 1.02; District of Columbia; District of Columbia,11,001,000102
102,2835,45,317,Census Tract 2.01; District of Columbia; District of Columbia,11,001,000201
239,3964,481,792,Census Tract 2.02; District of Columbia; District of Columbia,11,001,000202
406,5669,709,1413,Census Tract 3; District of Columbia; District of Columbia,11,001,000300
168,1715,318,427,Census Tract 4; District of Columbia; District of Columbia,11,001,000400
253,3490,532,661,Census Tract 5.01; District of Columbia; District of Columbia,11,001,000501
107,3448,529,346,Census Tract 5.02; District of Columbia; District of Columbia,11,001,000502
220,4367,517,526,Census Tract 6; District of Columbia; District of Columbia,11,001,000600
221,3239,539,646,Census Tract 7.02; District of Columbia; District of Columbia,11,001,000702
265,2764,430,709,Census Tract 7.03; District of Columbia; District of Columbia,11,001,000703
298,2404,371,909,Census Tract 7.04; District of Columbia; District of Columbia,11,001,000704
403,3136,433,1049,Census Tract 8.02; District of Columbia; District of Columbia,11,001,000802
353,2521,388,746,Census Tract 8.03; District of Columbia; District of Columbia,11,001,000803
185,3532,623,578,Census Tract 8.04; District of Columbia; District of Columbia,11,001,000804
84,2134,381,237,Census Tract 9.02; District of Columbia; District of Columbia,11,001,000902
147,3201,209,480,Census Tract 9.03; District of Columbia; District of Columbia,11,001,000903
298,3250,447,738,Census Tract 9.04; District of Columbia; District of Columbia,11,001,000904
250,3348,564,519,Census Tract 10.02; District of Columbia; District of Columbia,11,001,001002
225,2895,526,541,Census Tract 10.03; District of Columbia; District of Columbia,11,001,001003
184,3959,448,524,Census Tract 10.04; District of Columbia; District of Columbia,11,001,001004
217,4508,634,785,Census Tract 11; District of Columbia; District of Columbia,11,001,001100
454,4711,611,1115,Census Tract 12; District of Columbia; District of Columbia,11,001,001200
242,3965,513,497,Census Tract 13.01; District of Columbia; District of Columbia,11,001,001301
305,3537,523,601,Census Tract 13.03; District of Columbia; District of Columbia,11,001,001303
259,4083,640,654,Census Tract 13.04; District of Columbia; District of Columbia,11,001,001304
354,3324,462,697,Census Tract 14.01; District of Columbia; District of Columbia,11,001,001401
135,3488,468,504,Census Tract 14.02; District of Columbia; District of Columbia,11,001,001402
389,5619,792,632,Census Tract 15; District of Columbia; District of Columbia,11,001,001500
361,5071,620,648,Census Tract 16; District of Columbia; District of Columbia,11,001,001600
104,3387,474,226,Census Tract 17.02; District of Columbia; District of Columbia,11,001,001702
493,3795,610,1427,Census Tract 18.03; District of Columbia; District of Columbia,11,001,001803
609,5428,903,1983,Census Tract 18.04; District of Columbia; District of Columbia,11,001,001804
253,4581,945,704,Census Tract 19.01; District of Columbia; District of Columbia,11,001,001901
134,2212,252,347,Census Tract 19.02; District of Columbia; District of Columbia,11,001,001902
486,2983,805,1305,Census Tract 20.01; District of Columbia; District of Columbia,11,001,002001
305,4106,589,784,Census Tract 20.02; District of Columbia; District of Columbia,11,001,002002
549,5946,1121,1392,Census Tract 21.01; District of Columbia; District of Columbia,11,001,002101
294,5043,646,689,Census Tract 21.02; District of Columbia; District of Columbia,11,001,002102
436,3238,671,754,Census Tract 22.01; District of Columbia; District of Columbia,11,001,002201
325,3228,748,584,Census Tract 22.02; District of Columbia; District of Columbia,11,001,002202
254,3170,497,621,Census Tract 23.01; District of Columbia; District of Columbia,11,001,002301
61,1538,182,171,Census Tract 23.02; District of Columbia; District of Columbia,11,001,002302
363,3735,448,809,Census Tract 24; District of Columbia; District of Columbia,11,001,002400
466,2860,795,651,Census Tract 25.01; District of Columbia; District of Columbia,11,001,002501
257,2909,585,574,Census Tract 25.03; District of Columbia; District of Columbia,11,001,002503
245,3132,535,670,Census Tract 25.04; District of Columbia; District of Columbia,11,001,002504
220,2578,430,445,Census Tract 26; District of Columbia; District of Columbia,11,001,002600
318,5578,711,1095,Census Tract 27.02; District of Columbia; District of Columbia,11,001,002702
186,2312,379,539,Census Tract 27.03; District of Columbia; District of Columbia,11,001,002703
