S1601_C01_001M,S1601_C05_001M,S1601_C05_001E,S1601_C01_001E,NAME,state,county,tract
187,40,33,1083,Census Tract 1.01; District of Columbia; District of Columbia,11,001,000101
385,116,159,2921,Census Tract 1.02; District of Columbia; District of Columbia,11,001,000102
45,28,33,2835,Census Tract 2.01; District of Columbia; District of Columbia,11,001,000201
475,73,103,3886,Census Tract 2.02; District of Columbia; District of Columbia,11,001,000202
653,114,182,5238,Census Tract 3; District of Columbia; District of Columbia,11,001,000300
313,91,123,1635,Census Tract 4; District of Columbia; District of Columbia,11,001,000400
499,111,126,3363,Census Tract 5.01; District of Columbia; District of Columbia,11,001,000501
502,67,73,3103,Census Tract 5.02; District of Columbia; District of Columbia,11,001,000502
472,98,97,4203,Census Tract 6; District of Columbia; District of Columbia,11,001,000600
530,80,132,3180,Census Tract 7.02; District of Columbia; District of Columbia,11,001,000702
426,69,83,2729,Census Tract 7.03; District of Columbia; District of Columbia,11,001,000703
375,86,99,2311,Census Tract 7.04; District of Columbia; District of Columbia,11,001,000704
431,162,208,2974,Census Tract 8.02; District of Columbia; District of Columbia,11,001,000802
362,196,223,2396,Census Tract 8.03; District of Columbia; District of Columbia,11,001,000803
609,38,69,3343,Census Tract 8.04; District of Columbia; District of Columbia,11,001,000804
371,41,57,2018,Census Tract 9.02; District of Columbia; District of Columbia,11,001,000902
191,43,79,3129,Census Tract 9.03; District of Columbia; District of Columbia,11,001,000903
407,165,151,3077,Census Tract 9.04; District of Columbia; District of Columbia,11,001,000904
512,179,231,3196,Census Tract 10.02; District of Columbia; District of Columbia,11,001,001002
464,224,185,2716,Census Tract 10.03; District of Columbia; District of Columbia,11,001,001003
414,66,94,3800,Census Tract 10.04; District of Columbia; District of Columbia,11,001,001004
624,117,181,4378,Census Tract 11; District of Columbia; District of Columbia,11,001,001100
597,102,122,4522,Census Tract 12; District of Columbia; District of Columbia,11,001,001200
503,77,96,3828,Census Tract 13.01; District of Columbia; District of Columbia,11,001,001301
510,72,61,3384,Census Tract 13.03; District of Columbia; District of Columbia,11,001,001303
642,138,87,4068,Census Tract 13.04; District of Columbia; District of Columbia,11,001,001304
360,105,158,2978,Census Tract 14.01; District of Columbia; District of Columbia,11,001,001401
380,37,41,3215,Census Tract 14.02; District of Columbia; District of Columbia,11,001,001402
772,366,414,5200,Census Tract 15; District of Columbia; District of Columbia,11,001,001500
568,97,132,4715,Census Tract 16; District of Columbia; District of Columbia,11,001,001600
450,63,54,3189,Census Tract 17.02; District of Columbia; District of Columbia,11,001,001702
554,411,1206,3692,Census Tract 18.03; District of Columbia; District of Columbia,11,001,001803
837,480,1465,5253,Census Tract 18.04; District of Columbia; District of Columbia,11,001,001804
980,311,514,4255,Census Tract 19.01; District of Columbia; District of Columbia,11,001,001901
220,73,173,2037,Census Tract 19.02; District of Columbia; District of Columbia,11,001,001902
694,570,1116,2759,Census Tract 20.01; District of Columbia; District of Columbia,11,001,002001
568,247,308,3861,Census Tract 20.02; District of Columbia; District of Columbia,11,001,002002
1067,315,659,5254,Census Tract 21.01; District of Columbia; District of Columbia,11,001,002101
646,212,278,4714,Census Tract 21.02; District of Columbia; District of Columbia,11,001,002102
617,289,438,2979,Census Tract 22.01; District of Columbia; District of Columbia,11,001,002201
