S1701_C01_042M,S1701_C01_042E,S1701_C01_001M,S1701_C01_001E,NAME,state,county,tract
48,73,205,1181,Census Tract 1.01; District of Columbia; District of Columbia,11,001,000101
168,233,396,3056,Census Tract 1.02; District of Columbia; District of Columbia,11,001,000102
5,64,5,64,Census Tract 2.01; District of Columbia; District of Columbia,11,001,000201
204,541,481,3246,Census Tract 2.02; District of Columbia; District of Columbia,11,001,000202
229,609,709,5669,Census Tract 3; District of Columbia; District of Columbia,11,001,000300
120,302,318,1715,Census Tract 4; District of Columbia; District of Columbia,11,001,000400
294,482,532,3475,Census Tract 5.01; District of Columbia; District of Columbia,11,001,000501
191,339,529,3448,Census Tract 5.02; District of Columbia; District of Columbia,11,001,000502
123,219,518,4246,Census Tract 6; District of Columbia; District of Columbia,11,001,000600
282,654,539,3239,Census Tract 7.02; District of Columbia; District of Columbia,11,001,000702
108,132,430,2764,Census Tract 7.03; District of Columbia; District of Columbia,11,001,000703
102,207,371,2404,Census Tract 7.04; District of Columbia; District of Columbia,11,001,000704
240,463,433,3136,Census Tract 8.02; District of Columbia; District of Columbia,11,001,000802
296,472,388,2325,Census Tract 8.03; District of Columbia; District of Columbia,11,001,000803
81,133,622,3126,Census Tract 8.04; District of Columbia; District of Columbia,11,001,000804
158,193,381,2134,Census Tract 9.02; District of Columbia; District of Columbia,11,001,000902
100,131,200,1106,Census Tract 9.03; District of Columbia; District of Columbia,11,001,000903
175,239,447,3250,Census Tract 9.04; District of Columbia; District of Columbia,11,001,000904
289,534,564,3348,Census Tract 10.02; District of Columbia; District of Columbia,11,001,001002
192,230,420,2818,Census Tract 10.03; District of Columbia; District of Columbia,11,001,001003
245,588,448,3807,Census Tract 10.04; District of Columbia; District of Columbia,11,001,001004
294,505,634,4388,Census Tract 11; District of Columbia; District of Columbia,11,001,001100
229,581,611,4711,Census Tract 12; District of Columbia; District of Columbia,11,001,001200
214,490,514,3868,Census Tract 13.01; District of Columbia; District of Columbia,11,001,001301
285,630,523,3537,Census Tract 13.03; District of Columbia; District of Columbia,11,001,001303
172,286,640,4083,Census Tract 13.04; District of Columbia; District of Columbia,11,001,001304
94,185,462,3324,Census Tract 14.01; District of Columbia; District of Columbia,11,001,001401
94,184,468,3446,Census Tract 14.02; District of Columbia; District of Columbia,11,001,001402
74,98,792,5453,Census Tract 15; District of Columbia; District of Columbia,11,001,001500
114,250,624,4993,Census Tract 16; District of Columbia; District of Columbia,11,001,001600
97,203,473,3374,Census Tract 17.02; District of Columbia; District of Columbia,11,001,001702
581,1733,610,3795,Census Tract 18.03; District of Columbia; District of Columbia,11,001,001803
794,1885,903,5428,Census Tract 18.04; District of Columbia; District of Columbia,11,001,001804
829,967,945,4581,Census Tract 19.01; District of Columbia; District of Columbia,11,001,001901
204,419,252,2212,Census Tract 19.02; District of Columbia; District of Columbia,11,001,001902
821,1230,806,2979,Census Tract 20.01; District of Columbia; District of Columbia,11,001,002001
292,678,594,4051,Census Tract 20.02; District of Columbia; District of Columbia,11,001,002002
700,1258,1121,5946,Census Tract 21.01; District of Columbia; District of Columbia,11,001,002101
371,941,642,5029,Census Tract 21.02; District of Columbia; District of Columbia,11,001,002102
142,194,571,3065,Census Tract 22.01; District of Columbia; District of Columbia,11,001,002201
