B08201_001E,B08201_001M,B08201_002E,B08201_002M,NAME,state,county,tract
803,128,311,115,Census Tract 1.01; District of Columbia; District of Columbia,11,001,000101
1830,325,517,156,Census Tract 1.02; District of Columbia; District of Columbia,11,001,000102
0,14,0,14,Census Tract 2.01; District of Columbia; District of Columbia,11,001,000201
1832,355,623,329,Census Tract 2.02; District of Columbia; District of Columbia,11,001,000202
2430,274,241,128,Census Tract 3; District of Columbia; District of Columbia,11,001,000300
698,75,142,63,Census Tract 4; District of Columbia; District of Columbia,11,001,000400
2220,339,973,328,Census Tract 5.01; District of Columbia; District of Columbia,11,001,000501
1739,216,326,80,Census Tract 5.02; District of Columbia; District of Columbia,11,001,000502
2160,249,581,157,Census Tract 6; District of Columbia; District of Columbia,11,001,000600
2182,331,641,168,Census Tract 7.02; District of Columbia; District of Columbia,11,001,000702
1878,261,449,199,Census Tract 7.03; District of Columbia; District of Columbia,11,001,000703
1458,230,401,154,Census Tract 7.04; District of Columbia; District of Columbia,11,001,000704
1458,183,249,99,Census Tract 8.02; District of Columbia; District of Columbia,11,001,000802
1284,143,224,102,Census Tract 8.03; District of Columbia; District of Columbia,11,001,000803
1229,180,58,52,Census Tract 8.04; District of Columbia; District of Columbia,11,001,000804
850,122,38,35,Census Tract 9.02; District of Columbia; District of Columbia,11,001,000902
382,61,0,14,Census Tract 9.03; District of Columbia; District of Columbia,11,001,000903
1191,117,175,80,Census Tract 9.04; District of Columbia; District of Columbia,11,001,000904
1962,273,487,155,Census Tract 10.02; District of Columbia; District of Columbia,11,001,001002
1050,138,19,25,Census Tract 10.03; District of Columbia; District of Columbia,11,001,001003
1550,154,298,143,Census Tract 10.04; District of Columbia; District of Columbia,11,001,001004
2070,389,571,288,Census Tract 11; District of Columbia; District of Columbia,11,001,001100
2460,321,757,199,Census Tract 12; District of Columbia; District of Columbia,11,001,001200
2090,279,619,279,Census Tract 13.01; District of Columbia; District of Columbia,11,001,001301
2258,256,862,265,Census Tract 13.03; District of Columbia; District of Columbia,11,001,001303
2800,391,785,269,Census Tract 13.04; District of Columbia; District of Columbia,11,001,001304
1351,156,306,120,Census Tract 14.01; District of Columbia; District of Columbia,11,001,001401
1654,182,335,110,Census Tract 14.02; District of Columbia; District of Columbia,11,001,001402
2072,291,77,57,Census Tract 15; District of Columbia; District of Columbia,11,001,001500
1789,205,18,17,Census Tract 16; District of Columbia; District of Columbia,11,001,001600
