S0101_C01_001E,S0101_C01_030E,S0101_C01_030M,S0101_C01_001M,NAME,state,county,tract
1181,373,115,205,Census Tract 1.01; District of Columbia; District of Columbia,11,001,000101
3056,951,232,396,Census Tract 1.02; District of Columbia; District of Columbia,11,001,000102
2835,0,14,45,Census Tract 2.01; District of Columbia; District of Columbia,11,001,000201
3964,731,192,481,Census Tract 2.02; District of Columbia; District of Columbia,11,001,000202
5669,679,184,709,Census Tract 3; District of Columbia; District of Columbia,11,001,000300
1715,354,93,318,Census Tract 4; District of Columbia; District of Columbia,11,001,000400
3490,604,160,532,Census Tract 5.01; District of Columbia; District of Columbia,11,001,000501
3448,477,80,529,Census Tract 5.02; District of Columbia; District of Columbia,11,001,000502
4367,934,131,517,Census Tract 6; District of Columbia; District of Columbia,11,001,000600
3239,631,242,539,Census Tract 7.02; District of Columbia; District of Columbia,11,001,000702
2764,1365,286,430,Census Tract 7.03; District of Columbia; District of Columbia,11,001,000703
2404,439,130,371,Census Tract 7.04; District of Columbia; District of Columbia,11,001,000704
3136,749,340,433,Census Tract 8.02; District of Columbia; District of Columbia,11,001,000802
2521,734,166,388,Census Tract 8.03; District of Columbia; District of Columbia,11,001,000803
3532,542,129,623,Census Tract 8.04; District of Columbia; District of Columbia,11,001,000804
2134,510,85,381,Census Tract 9.02; District of Columbia; District of Columbia,11,001,000902
3201,231,67,209,Census Tract 9.03; District of Columbia; District of Columbia,11,001,000903
3250,905,161,447,Census Tract 9.04; District of Columbia; District of Columbia,11,001,000904
3348,377,129,564,Census Tract 10.02; District of Columbia; District of Columbia,11,001,001002
2895,530,69,526,Census Tract 10.03; District of Columbia; District of Columbia,11,001,001003
3959,818,137,448,Census Tract 10.04; District of Columbia; District of Columbia,11,001,001004
4508,1149,212,634,Census Tract 11; District of Columbia; District of Columbia,11,001,001100
4711,1047,365,611,Census Tract 12; District of Columbia; District of Columbia,11,001,001200
3965,874,298,513,Census Tract 13.01; District of Columbia; District of Columbia,11,001,001301
3537,764,172,523,Census Tract 13.03; District of Columbia; District of Columbia,11,001,001303
4083,693,221,640,Census Tract 13.04; District of Columbia; District of Columbia,11,001,001304
3324,567,62,462,Census Tract 14.01; District of Columbia; District of Columbia,11,001,001401
3488,1060,181,468,Census Tract 14.02; District of Columbia; District of Columbia,11,001,001402
5619,1500,312,792,Census Tract 15; District of Columbia; District of Columbia,11,001,001500
5071,1166,187,620,Census Tract 16; District of Columbia; District of Columbia,11,001,001600
3387,504,84,474,Census Tract 17.02; District of Columbia; District of Columbia,11,001,001702
3795,528,168,610,Census Tract 18.03; District of Columbia; District of Columbia,11,001,001803
5428,754,271,903,Census Tract 18.04; District of Columbia; District of Columbia,11,001,001804
4581,741,365,945,Census Tract 19.01; District of Columbia; District of Columbia,11,001,001901
2212,300,61,252,Census Tract 19.02; District of Columbia; District of Columbia,11,001,001902
2983,309,96,805,Census Tract 20.01; District of Columbia; District of Columbia,11,001,002001
4106,498,120,589,Census Tract 20.02; District of Columbia; District of Columbia,11,001,002002
5946,719,163,1121,Census Tract 21.01; District of Columbia; District of Columbia,11,001,002101
5043,531,232,646,Census Tract 21.02; District of Columbia; District of Columbia,11,001,002102
3238,400,83,671,Census Tract 22.01; District of Columbia; District of Columbia,11,001,002201
3228,391,125,748,Census Tract 22.02; District of Columbia; District of Columbia,11,001,002202
3170,305,116,497,Census Tract 23.01; District of Columbia; District of Columbia,11,001,002301
1538,582,192,182,Census Tract 23.02; District of Columbia; District of Columbia,11,001,002302
3735,475,127,448,Census Tract 24; District of Columbia; District of Columbia,11,001,002400
2860,249,54,795,Census Tract 25.01; District of Columbia; District of Columbia,11,001,002501
2909,211,64,585,Census Tract 25.03; District of Columbia; District of Columbia,11,001,002503
3132,420,133,535,Census Tract 25.04; District of Columbia; District of Columbia,11,001,002504
2578,542,117,430,Census Tract 26; District of Columbia; District of Columbia,11,001,002600
5578,604,152,711,Census Tract 27.02; District of Columbia; District of Columbia,11,001,002702
2312,317,79,379,Census Tract 27.03; District of Columbia; District of Columbia,11,001,002703
2971,103,92,608,Census Tract 27.04; District of Columbia; District of Columbia,11,001,002704
3877,214,81,559,Census Tract 28.01; District of Columbia; District of Columbia,11,001,002801
4951,522,222,487,Census Tract 28.02; District of Columbia; District of Columbia,11,001,002802
4608,398,260,852,Census Tract 29; District of Columbia; District of Columbia,11,001,002900
3535,230,66,483,Census Tract 30; District of Columbia; District of Columbia,11,001,003000
3529,212,99,448,Census Tract 31; District of Columbia; District of Columbia,11,001,003100
4132,396,198,1012,Census Tract 32; District of Columbia; District of Columbia,11,001,003200
3525,227,56,502,Census Tract 33.01; District of Columbia; District of Columbia,11,001,003301
2236,144,36,371,Census Tract 33.02; District of Columbia; District of Columbia,11,001,003302
4044,230,96,518,Census Tract 34; District of Columbia; District of Columbia,11,001,003400
4498,136,69,451,Census Tract 35; District of Columbia; District of Columbia,11,001,003500
4500,364,169,629,Census Tract 36; District of Columbia; District of Columbia,11,001,003600
