B02001_001M,B02001_002M,B02001_001E,B02001_002E,NAME,state,county,tract
205,194,1181,888,Census Tract 1.01; District of Columbia; District of Columbia,11,001,000101
396,375,3056,2590,Census Tract 1.02; District of Columbia; District of Columbia,11,001,000102
45,176,2835,1685,Census Tract 2.01; District of Columbia; District of Columbia,11,001,000201
481,491,3964,3168,Census Tract 2.02; District of Columbia; District of Columbia,11,001,000202
709,671,5669,4033,Census Tract 3; District of Columbia; District of Columbia,11,001,000300
318,147,1715,1040,Census Tract 4; District of Columbia; District of Columbia,11,001,000400
532,326,3490,2165,Census Tract 5.01; District of Columbia; District of Columbia,11,001,000501
529,490,3448,2510,Census Tract 5.02; District of Columbia; District of Columbia,11,001,000502
517,445,4367,3656,Census Tract 6; District of Columbia; District of Columbia,11,001,000600
539,298,3239,1813,Census Tract 7.02; District of Columbia; District of Columbia,11,001,000702
430,361,2764,1919,Census Tract 7.03; District of Columbia; District of Columbia,11,001,000703
371,418,2404,1777,Census Tract 7.04; District of Columbia; District of Columbia,11,001,000704
433,343,3136,2123,Census Tract 8.02; District of Columbia; District of Columbia,11,001,000802
388,274,2521,1846,Census Tract 8.03; District of Columbia; District of Columbia,11,001,000803
623,651,3532,2973,Census Tract 8.04; District of Columbia; District of Columbia,11,001,000804
381,359,2134,1708,Census Tract 9.02; District of Columbia; District of Columbia,11,001,000902
209,242,3201,2547,Census Tract 9.03; District of Columbia; District of Columbia,11,001,000903
447,387,3250,2383,Census Tract 9.04; District of Columbia; District of Columbia,11,001,000904
564,543,3348,2742,Census Tract 10.02; District of Columbia; District of Columbia,11,001,001002
526,533,2895,2336,Census Tract 10.03; District of Columbia; District of Columbia,11,001,001003
448,394,3959,3102,Census Tract 10.04; District of Columbia; District of Columbia,11,001,001004
634,462,4508,3046,Census Tract 11; District of Columbia; District of Columbia,11,001,001100
611,576,4711,3518,Census Tract 12; District of Columbia; District of Columbia,11,001,001200
513,418,3965,2698,Census Tract 13.01; District of Columbia; District of Columbia,11,001,001301
523,396,3537,2472,Census Tract 13.03; District of Columbia; District of Columbia,11,001,001303
640,527,4083,2840,Census Tract 13.04; District of Columbia; District of Columbia,11,001,001304
462,223,3324,2104,Census Tract 14.01; District of Columbia; District of Columbia,11,001,001401
468,434,3488,2371,Census Tract 14.02; District of Columbia; District of Columbia,11,001,001402
792,668,5619,3962,Census Tract 15; District of Columbia; District of Columbia,11,001,001500
