B09001_001E,B09001_001M,B01003_001E,B01003_001M,NAME,state,county,tract
115,43,1181,205,Census Tract 1.01; District of Columbia; District of Columbia,11,001,000101
277,114,3056,396,Census Tract 1.02; District of Columbia; District of Columbia,11,001,000102
18,24,2835,45,Census Tract 2.01; District of Columbia; District of Columbia,11,001,000201
233,59,3964,481,Census Tract 2.02; District of Columbia; District of Columbia,11,001,000202
1295,264,5669,709,Census Tract 3; District of Columbia; District of Columbia,11,001,000300
323,158,1715,318,Census Tract 4; District of Columbia; District of Columbia,11,001,000400
323,119,3490,532,Census Tract 5.01; District of Columbia; District of Columbia,11,001,000501
793,258,3448,529,Census Tract 5.02; District of Columbia; District of Columbia,11,001,000502
940,173,4367,517,Census Tract 6; District of Columbia; District of Columbia,11,001,000600
320,188,3239,539,Census Tract 7.02; District of Columbia; District of Columbia,11,001,000702
118,89,2764,430,Census Tract 7.03; District of Columbia; District of Columbia,11,001,000703
286,106,2404,371,Census Tract 7.04; District of Columbia; District of Columbia,11,001,000704
569,115,3136,433,Census Tract 8.02; District of Columbia; District of Columbia,11,001,000802
400,128,2521,388,Census Tract 8.03; District of Columbia; District of Columbia,11,001,000803
955,367,3532,623,Census Tract 8.04; District of Columbia; District of Columbia,11,001,000804
576,138,2134,381,Census Tract 9.02; District of Columbia; District of Columbia,11,001,000902
269,72,3201,209,Census Tract 9.03; District of Columbia; District of Columbia,11,001,000903
854,120,3250,447,Census Tract 9.04; District of Columbia; District of Columbia,11,001,000904
520,262,3348,564,Census Tract 10.02; District of Columbia; District of Columbia,11,001,001002
909,261,2895,526,Census Tract 10.03; District of Columbia; District of Columbia,11,001,001003
997,196,3959,448,Census Tract 10.04; District of Columbia; District of Columbia,11,001,001004
764,175,4508,634,Census Tract 11; District of Columbia; District of Columbia,11,001,001100
741,104,4711,611,Census Tract 12; District of Columbia; District of Columbia,11,001,001200
560,148,3965,513,Census Tract 13.01; District of Columbia; District of Columbia,11,001,001301
259,106,3537,523,Census Tract 13.03; District of Columbia; District of Columbia,11,001,001303
122,73,4083,640,Census Tract 13.04; District of Columbia; District of Columbia,11,001,001304
885,173,3324,462,Census Tract 14.01; District of Columbia; District of Columbia,11,001,001401
844,241,3488,468,Census Tract 14.02; District of Columbia; District of Columbia,11,001,001402
1500,229,5619,792,Census Tract 15; District of Columbia; District of Columbia,11,001,001500
1443,289,5071,620,Census Tract 16; District of Columbia; District of Columbia,11,001,001600
642,209,3387,474,Census Tract 17.02; District of Columbia; District of Columbia,11,001,001702
965,253,3795,610,Census Tract 18.03; District of Columbia; District of Columbia,11,001,001803
1705,544,5428,903,Census Tract 18.04; District of Columbia; District of Columbia,11,001,001804
1352,467,4581,945,Census Tract 19.01; District of Columbia; District of Columbia,11,001,001901
528,103,2212,252,Census Tract 19.02; District of Columbia; District of Columbia,11,001,001902
763,556,2983,805,Census Tract 20.01; District of Columbia; District of Columbia,11,001,002001
821,223,4106,589,Census Tract 20.02; District of Columbia; District of Columbia,11,001,002002
1789,587,5946,1121,Census Tract 21.01; District of Columbia; District of Columbia,11,001,002101
1227,244,5043,646,Census Tract 21.02; District of Columbia; District of Columbia,11,001,002102
849,350,3238,671,Census Tract 22.01; District of Columbia; District of Columbia,11,001,002201
930,445,3228,748,Census Tract 22.02; District of Columbia; District of Columbia,11,001,002202
765,221,3170,497,Census Tract 23.01; District of Columbia; District of Columbia,11,001,002301
218,24,1538,182,Census Tract 23.02; District of Columbia; District of Columbia,11,001,002302
547,129,3735,448,Census Tract 24; District of Columbia; District of Columbia,11,001,002400
696,284,2860,795,Census Tract 25.01; District of Columbia; District of Columbia,11,001,002501
259,149,2909,585,Census Tract 25.03; District of Columbia; District of Columbia,11,001,002503
521,249,3132,535,Census Tract 25.04; District of Columbia; District of Columbia,11,001,002504
682,129,2578,430,Census Tract 26; District of Columbia; District of Columbia,11,001,002600
1238,248,5578,711,Census Tract 27.02; District of Columbia; District of Columbia,11,001,002702
292,117,2312,379,Census Tract 27.03; District of Columbia; District of Columbia,11,001,002703
427,147,2971,608,Census Tract 27.04; District of Columbia; District of Columbia,11,001,002704
899,332,3877,559,Census Tract 28.01; District of Columbia; District of Columbia,11,001,002801
1128,307,4951,487,Census Tract 28.02; District of Columbia; District of Columbia,11,001,002802
1136,627,4608,852,Census Tract 29; District of Columbia; District of Columbia,11,001,002900
666,146,3535,483,Census Tract 30; District of Columbia; District of Columbia,11,001,003000
458,230,3529,448,Census Tract 31; District of Columbia; District of Columbia,11,001,003100
978,683,4132,1012,Census Tract 32; District of Columbia; District of Columbia,11,001,003200
284,114,3525,502,Census Tract 33.01; District of Columbia; District of Columbia,11,001,003301
341,253,2236,371,Census Tract 33.02; District of Columbia; District of Columbia,11,001,003302
254,89,4044,518,Census Tract 34; District of Columbia; District of Columbia,11,001,003400
175,140,4498,451,Census Tract 35; District of Columbia; District of Columbia,11,001,003500
446,120,4500,629,Census Tract 36; District of Columbia; District of Columbia,11,001,003600
246,115,2195,229,Census Tract 37.01; District of Columbia; District of Columbia,11,001,003701
483,398,2815,796,Census Tract 37.02; District of Columbia; District of Columbia,11,001,003702
72,6,1514,201,Census Tract 38.01; District of Columbia; District of Columbia,11,001,003801
223,97,3607,510,Census Tract 38.02; District of Columbia; District of Columbia,11,001,003802
339,133,2729,568,Census Tract 39.01; District of Columbia; District of Columbia,11,001,003901
325,134,1774,346,Census Tract 39.02; District of Columbia; District of Columbia,11,001,003902
407,196,3971,502,Census Tract 40.01; District of Columbia; District of Columbia,11,001,004001
396,175,3291,557,Census Tract 40.02; District of Columbia; District of Columbia,11,001,004002
300,210,2363,399,Census Tract 41; District of Columbia; District of Columbia,11,001,004100
51,63,3224,506,Census Tract 42.01; District of Columbia; District of Columbia,11,001,004201
87,24,2613,409,Census Tract 42.02; District of Columbia; District of Columbia,11,001,004202
403,311,4387,860,Census Tract 43; District of Columbia; District of Columbia,11,001,004300
587,675,3388,981,Census Tract 44.01; District of Columbia; District of Columbia,11,001,004401
228,64,2503,447,Census Tract 44.02; District of Columbia; District of Columbia,11,001,004402
512,232,3058,566,Census Tract 46; District of Columbia; District of Columbia,11,001,004600
67,53,3476,706,Census Tract 47.02; District of Columbia; District of Columbia,11,001,004702
361,127,3400,629,Census Tract 47.03; District of Columbia; District of Columbia,11,001,004703
465,135,1580,373,Census Tract 47.04; District of Columbia; District of Columbia,11,001,004704
205,71,2751,480,Census Tract 48.01; District of Columbia; District of Columbia,11,001,004801
313,344,2974,692,Census Tract 48.02; District of Columbia; District of Columbia,11,001,004802
417,238,3381,442,Census Tract 49.01; District of Columbia; District of Columbia,11,001,004901
338,56,3367,401,Census Tract 49.02; District of Columbia; District of Columbia,11,001,004902
241,159,2064,497,Census Tract 50.01; District of Columbia; District of Columbia,11,001,005001
15,23,1766,313,Census Tract 50.03; District of Columbia; District of Columbia,11,001,005003
423,122,3703,409,Census Tract 50.04; District of Columbia; District of Columbia,11,001,005004
13,21,2973,499,Census Tract 52.02; District of Columbia; District of Columbia,11,001,005202
54,81,3114,502,Census Tract 52.03; District of Columbia; District of Columbia,11,001,005203
269,96,2547,338,Census Tract 53.02; District of Columbia; District of Columbia,11,001,005302
64,6,2503,366,Census Tract 53.03; District of Columbia; District of Columbia,11,001,005303
