Y_est,Y_est_moe,Y_uni,Y_uni_moe,NAME,state,county,tract,S0101_C01_001E_x,OA_est,OA_est_moe,S0101_C01_001M_x,S0101_C01_001E_y,F_est,F_est_moe,S0101_C01_001M_y,RM_uni_moe,RM_est_moe,RM_uni,RM_est,EM_est,EM_uni_moe,EM_uni,EM_est_moe,FB_est_moe,FB_uni,FB_uni_moe,FB_est,LEP_uni_moe,LEP_est_moe,LEP_est,LEP_uni,D_est_moe,D_est,D_uni_moe,D_uni,LI_est_moe,LI_est,LI_uni_moe,LI_uni,NC_uni,NC_uni_moe,NC_est,NC_est_moe,GEOID,OA_uni,F_uni,OA_uni_moe,F_uni_moe,RM_est_moe_approx,Y_pct,Y_pct_moe,OA_pct,OA_pct_moe,F_pct,F_pct_moe,RM_pct,RM_pct_moe,EM_pct,EM_pct_moe,FB_pct,FB_pct_moe,LEP_pct,LEP_pct_moe,D_pct,D_pct_moe,LI_pct,LI_pct_moe,NC_pct,NC_pct_moe,IPD_SCORE,Y_score,Y_class,OA_score,OA_class,F_score,F_class,RM_score,RM_class,EM_score,EM_class,FB_score,FB_class,LEP_score,LEP_class,D_score,D_class,LI_score,LI_class,NC_score,NC_class,IPD_SCORE_score,IPD_SCORE_class,indicators_mean,indicators_std,IPD_CONFIDENCE
115,43,1181,205,Census Tract 1.01; District of Columbia; District of Columbia,11,001,000101,1181,373,115,205,1181,678,166,205,205,194,1181,293,90,205,1181,89,77,1181,205,161,187,40,33,1083,28,30,205,1181,48,73,205,1181,803,128,311,115,11001000101,1181,1181,205,205,282.24280327406046,9.7,3.2,31.6,8.0,57.4,9.9,24.8,15.9,7.6,7.4,13.6,6.1,3.0,3.7,2.5,2.3,6.2,3.9,38.7,12.9,19,1,Below Average,4,Well Above Average,3,Above Average,1,Below Average,2,Average,2,Average,2,Average,1,Below Average,1,Below Average,2,Average,2,Average,1.9,0.9944289260117531,Medium
277,114,3056,396,Census Tract 1.02; District of Columbia; District of Columbia,11,001,000102,3056,951,232,396,3056,1618,313,396,396,375,3056,466,405,396,3056,233,287,3056,396,689,385,116,159,2921,130,244,396,3056,168,233,396,3056,1830,325,517,156,11001000102,3056,3056,396,396,545.3815178386594,9.1,3.5,31.1,6.4,52.9,7.6,15.2,12.1,13.3,7.4,22.5,8.9,5.4,3.9,8.0,4.1,7.6,5.4,28.3,6.9,19,1,Below Average,4,Well Above Average,2,Average,0,Well Below Average,2,Average,3,Above Average,2,Average,2,Average,1,Below Average,2,Average,2,Average,1.9,1.1005049346146119,Medium
18,24,2835,45,Census Tract 2.01; District of Columbia; District of Columbia,11,001,000201,2835,0,14,45,2835,1705,125,45,45,176,2835,1150,381,45,2835,107,102,2835,45,317,45,28,33,2835,74,163,45,2835,5,64,5,64,0,14,0,14,11001000201,2835,2835,45,45,181.66177363441105,0.6,0.8,0.0,0.5,60.1,4.3,40.6,6.2,13.4,3.8,11.2,3.6,1.2,1.0,5.7,2.6,100.0,0.0,0.0,0.0,14,0,Well Below Average,0,Well Below Average,3,Above Average,1,Below Average,2,Average,2,Average,1,Below Average,1,Below Average,4,Well Above Average,0,Well Below Average,1,Below Average,1.4,1.349897115421106,Medium
233,59,3964,481,Census Tract 2.02; District of Columbia; District of Columbia,11,001,000202,3964,731,192,481,3964,2115,369,481,481,491,3964,796,384,481,3964,168,239,3964,481,792,475,73,103,3886,103,231,480,3946,204,541,481,3246,1832,355,623,329,11001000202,3964,3964,481,481,687.3441641565017,5.9,1.3,18.4,4.3,53.4,6.7,20.1,12.1,9.7,4.1,20.0,5.5,2.7,1.9,5.9,2.5,16.7,5.8,34.0,16.7,19,1,Below Average,3,Above Average,2,Average,1,Below Average,2,Average,3,Above Average,2,Average,1,Below Average,2,Average,2,Average,2,Average,1.9,0.7378647873726218,High
1295,264,5669,709,Census Tract 3; District of Columbia; District of Columbia,11,001,000300,5669,679,184,709,5669,2975,426,709,709,671,5669,1636,816,709,5669,429,406,5669,709,1413,653,114,182,5238,83,141,709,5669,229,609,709,5669,2430,274,241,128,11001000300,5669,5669,709,709,976.1772380054762,22.8,3.7,12.0,2.9,52.5,3.7,28.9,11.3,14.4,7.4,24.9,6.4,3.5,2.1,2.5,1.4,10.7,3.8,9.9,5.1,18,3,Above Average,2,Average,2,Average,1,Below Average,2,Average,3,Above Average,2,Average,1,Below Average,1,Below Average,1,Below Average,2,Average,1.8,0.7888106377466155,High
323,158,1715,318,Census Tract 4; District of Columbia; District of Columbia,11,001,000400,1715,354,93,318,1715,897,255,318,318,147,1715,675,279,318,1715,160,168,1715,318,427,313,91,123,1635,97,202,318,1715,120,302,318,1715,698,75,142,63,11001000400,1715,1715,318,318,350.33269901623515,18.8,8.5,20.6,3.8,52.3,11.3,39.4,4.5,16.3,8.8,24.9,8.6,7.5,5.4,11.8,5.2,17.6,6.2,20.3,8.8,21,2,Average,3,Above Average,2,Average,1,Below Average,3,Above Average,3,Above Average,2,Average,2,Average,2,Average,1,Below Average,2,Average,2.1,0.7378647873726218,High
323,119,3490,532,Census Tract 5.01; District of Columbia; District of Columbia,11,001,000501,3490,604,160,532,3490,1953,385,532,532,326,3490,1325,366,532,3490,190,253,3490,532,661,499,111,126,3363,117,232,532,3490,294,482,532,3475,2220,339,973,328,11001000501,3490,3490,532,532,623.9390995922599,9.3,3.1,17.3,3.7,56.0,7.0,38.0,7.3,10.5,5.2,18.9,6.6,3.7,3.3,6.6,3.2,13.9,8.2,43.8,13.2,20,1,Below Average,3,Above Average,3,Above Average,1,Below Average,2,Average,3,Above Average,2,Average,1,Below Average,1,Below Average,3,Above Average,2,Average,2.0,0.9428090415820634,High
793,258,3448,529,Census Tract 5.02; District of Columbia; District of Columbia,11,001,000502,3448,477,80,529,3448,2018,370,529,529,490,3448,938,491,529,3448,181,107,3448,529,346,502,67,73,3103,93,217,529,3448,191,339,529,3448,1739,216,326,80,11001000502,3448,3448,529,529,721.0693447928569,23.0,6.6,13.8,0.9,58.5,5.9,27.2,13.6,14.2,4.8,10.0,2.7,2.4,2.1,6.3,2.5,9.8,5.3,18.7,4.0,18,3,Above Average,2,Average,3,Above Average,1,Below Average,2,Average,2,Average,2,Average,1,Below Average,1,Below Average,1,Below Average,2,Average,1.8,0.7888106377466155,High
940,173,4367,517,Census Tract 6; District of Columbia; District of Columbia,11,001,000600,4367,934,131,517,4367,2558,391,517,517,445,4367,711,343,517,4367,147,220,4367,517,526,472,98,97,4203,129,319,517,4258,123,219,518,4246,2160,249,581,157,11001000600,4367,4367,517,517,682.139281965201,21.5,3.0,21.4,1.6,58.6,5.7,16.3,10.0,7.9,3.2,12.0,4.8,2.3,2.3,7.5,2.9,5.2,2.8,26.9,6.6,18,2,Average,3,Above Average,3,Above Average,0,Well Below Average,2,Average,2,Average,2,Average,1,Below Average,1,Below Average,2,Average,2,Average,1.8,0.9189365834726815,Medium
320,188,3239,539,Census Tract 7.02; District of Columbia; District of Columbia,11,001,000702,3239,631,242,539,3239,1775,387,539,539,298,3239,1426,310,539,3239,237,221,3239,539,646,530,80,132,3180,198,330,539,3239,282,654,539,3239,2182,331,641,168,11001000702,3239,3239,539,539,615.8936596523786,9.9,5.6,19.5,6.7,54.8,7.7,44.0,5.6,9.6,7.1,19.9,6.0,4.2,2.4,10.2,5.9,20.2,8.0,29.4,6.3,20,1,Below Average,3,Above Average,2,Average,1,Below Average,2,Average,3,Above Average,2,Average,2,Average,2,Average,2,Average,2,Average,2.0,0.6666666666666666,High
118,89,2764,430,Census Tract 7.03; District of Columbia; District of Columbia,11,001,000703,2764,1365,286,430,2764,1525,288,430,430,361,2764,845,371,430,2764,271,265,2764,430,709,426,69,83,2729,157,490,430,2764,108,132,430,2764,1878,261,449,199,11001000703,2764,2764,430,430,561.4454559438522,4.3,3.2,49.4,6.9,55.2,5.9,30.6,12.2,13.4,9.6,25.7,8.7,3.0,2.5,17.7,5.0,4.8,3.8,23.9,10.1,20,1,Below Average,4,Well Above Average,2,Average,1,Below Average,2,Average,3,Above Average,2,Average,3,Above Average,1,Below Average,1,Below Average,2,Average,2.0,1.0540925533894598,Medium
